ward_code,Ward,Borough,Childhood_Obesity_Year6,Children_in_poverty,dependent_children_in_out_of_work_households,Public_Transport_Accessibility,Crime_rate,Unauthorised_Absence_in_All_Schools,Median_Household_income,Qualifications_Level4_and_above,Population_density,Households_with_access_to_openspace,Road_Casualties,People_activities_are_limited,People_with_Bad_or_Very_Bad_Health,Average_GCSE,Unemployed
E05000601,Hoe Street,Waltham Forest,24.67,27.57,24.33,5.06,135.65,1.35,34890,36.4,12727.27273,22.29,40.33,7.2,5.6,26.764261,12.0515921
E05000602,Larkswood,Waltham Forest,22.84,26.57,24.62,2.76,108.08,1.23,35170,21.6,5428.571429,30.49,20.67,8.8,5.9,36.841719,8.717679944
E05000603,Lea Bridge,Waltham Forest,21.78,28.53,26.76,3.61,119.77,1.59,31450,26.6,6057.692308,41.97,89,7.1,5.9,24.5086382,12.46934297
E05000604,Leyton,Waltham Forest,19.54,35.53,31.56,3.79,123.88,1.74,31040,28.5,7125,76.39,54,7,5.8,11.1456061,13.80789022
E05000605,Leytonstone,Waltham Forest,17.36,21.2,18.67,4.89,129.58,1.18,38700,40.8,9961.538462,17.03,42.33,6,4.1,40.1626178,9.668651307
E05000606,Markhouse,Waltham Forest,25.06,29.53,27.14,4.03,116.2,1.35,33780,30.9,9133.333333,49.18,29,6.6,5.3,28.8065812,10.22743947
E05000607,Valley,Waltham Forest,20.51,28.73,26.1,2.41,182.43,1.21,34250,20.2,5750,20.2,46.33,7.8,5.6,29.647926,8.973463687
E05000608,William Morris,Waltham Forest,25.06,31.9,28.41,3.33,97.78,1.11,35070,33.6,13350,34.9,32,6.3,5,31.7989483,9.780918728
E05000609,Wood Street,Waltham Forest,21.85,29.17,26.63,3.51,106.17,1.15,35130,33,7472.222222,4.48,42.33,6.9,5.3,32.2015914,10.76312307
E05000610,Balham,Wandsworth,12.3,8.6,8.73,4.64,139.23,0.71,53420,67.6,12333.33333,53.85,52,4,2.7,60.2907227,3.903964491
E05000611,Bedford,Wandsworth,17.96,17.13,16.72,4.15,126.63,0.81,46410,61.1,8111.111111,48.96,52.33,5,3.7,41.1814001,5.301701908
E05000612,Earlsfield,Wandsworth,21.85,22.5,21.68,3.64,87.54,0.88,44360,53.8,11071.42857,85.31,37.67,4.8,3.5,52.4260406,4.947378774
E05000613,East Putney,Wandsworth,11.76,14.13,13.74,4.3,72.23,0.97,49010,62.9,9437.5,60,78.33,4.7,3.3,41.0001204,4.048460374
E05000614,Fairfield,Wandsworth,21.25,16.57,16.47,5.22,109.82,1.05,48590,62.8,9766.666667,81.36,80,3.9,2.9,51.6614538,3.917050691
E05000615,Furzedown,Wandsworth,19.96,25,23.67,3.05,82.8,0.77,38240,41,11071.42857,40.98,28,6.1,4.3,53.5859147,9.38433951
E05000616,Graveney,Wandsworth,21.16,26.6,26.79,5.24,136.64,0.95,37960,44.9,15250,78.4,62.67,6.3,4.5,42.5503609,7.464535015
E05000617,Latchmere,Wandsworth,27.13,39.17,37.38,5.32,132.75,1.08,34990,40.7,14000,29.81,65,6.8,5.4,41.6754009,9.386322464
